Yield_CT,Yield_change,Latitude,Longitude,Crop,Crop_rotation_CT,Soil_cover_CT,Weed_pest_control_CT,P,E,PB,Tave,Tmax,Tmin,ST
2036.0,-0.1203,46.82,-100.88,sunflower,0,0.0,1.0,387.3,495.831,-108.531,15.31667,29.52321,0.46634,Loam
5730.0,-0.0314,55.94,-3.21,barley.winter,0,0.0,1.0,739.3,259.214,480.086,6.33333,15.01892,-4.70432,Sandy loam
2940.0,-0.1361,35.07,-97.13,wheat.winter,0,0.0,1.0,613.0,647.549,-34.549,17.01111,33.42905,0.65781,Loam
9255.0,0.2105,28.67,77.2,maize,1,0.0,1.0,538.8,469.459,69.341,29.4,38.09192,19.49525,Loam
1562.0,0.3963,43.87,-93.51,soybean,0,0.0,1.0,562.9,509.709,53.191,17.4,29.0991,3.30428,Loam
8300.0,-0.0843,45.5,-73.58,maize,0,0.0,1.0,459.0,463.741,-4.741,15.08333,26.11125,1.7455,Loam
3018.0,-0.2386,49.86,-99.96,barley.spring,0,0.0,1.0,255.2,429.431,-174.231,15.7,26.22876,3.51104,Loam
9867.0,-0.3612,44.73,-93.12,maize,0,0.0,1.0,660.1,464.271,195.829,17.35,28.81297,2.04897,Loam
4300.0,0.0814,52.44,-111.78,barley.spring,0,0.0,1.0,346.3,420.089,-73.789,13.4,25.67093,4.5817,Loam
2425.0,0.0091,50.29,-107.79,wheat.spring,0,0.0,1.0,213.699996,405.5630162,-191.863,16.01999989,25.14972738,5.692740377,Loam
3951.0,0.2531,27.55,-109.15,wheat.winter,0,0.0,1.0,116.0,700.852,-584.852,25.98571,37.73378,11.92019,Loam
8444.607477,0.0808,40.85,-96.47,sorghum,0,0.0,1.0,569.0,554.804,14.196,20.45,31.07792,4.70649,Loam
3800.0,-0.0868,23.9,91.32,rice,0,0.0,1.0,1334.4,403.619,930.781,27.38,32.67963,18.36915,Loam
9610.0,-0.1217,43.28,-81.47,maize,0,0.0,1.0,420.7,552.26,-131.56,17.35,27.27467,6.81687,Clay loam
2364.0,-0.0503,46.4,6.23,wheat.winter,1,0.0,1.0,1402.8,500.95,901.85,8.96364,21.53454,-1.35621,Loam
2550.0,-0.0196,35.93,37.17,barley.winter,0,0.0,1.0,448.0999904,483.314502,-35.215,15.0875001,30.02375081,0.631366114,Clay loam
2510.0,0.0159,52.44,-111.78,barley.spring,0,0.0,1.0,318.9,418.873,-99.973,13.32,25.1021,3.52934,Loam
6000.0,0.0333,30.98,113.93,rice,0,0.0,1.0,694.8,533.458,161.342,27.0,33.79424,20.36772,Loam
12254.0,-0.0756,40.65,-104.98,maize,0,0.0,1.0,445.4,552.736,-107.336,13.85714,27.27658,-4.86435,Loam
1900.0,0.6842,31.38,72.03,maize,0,0.0,1.0,489.9,406.5,83.4,30.62,38.91278,19.24657,Loam
4200.0,0.0476,38.92,-97.65,wheat.winter,1,0.0,1.0,783.3,697.924,85.376,13.77,34.3239,-6.31866,Loam
9200.0,0.0652,41.48,-84.15,maize,0,0.0,1.0,468.9,478.09,-9.19,17.66667,27.15856,4.54438,Loam
4190.0,0.0334,40.42,-86.87,soybean,0,0.0,1.0,422.8,536.291,-113.491,20.68333,32.01782,10.67236,Loam
10460.0,0.021,28.18,113.07,rice,0,0.0,1.0,550.7,342.13,208.57,19.875,27.10545,8.32728,Clay loam
15500.0,-0.0387,32.53,-83.85,maize,0,0.0,1.0,468.0,659.161,-191.161,24.13333,34.95042,12.99181,Sandy loam
12890.0,-0.128,52.43,16.9,maize,0,0.0,1.0,288.4,390.685,-102.285,14.18571,25.82863,4.04374,Sandy loam
2812.0,-0.2834,47.38,-71.38,barley.spring,0,0.0,1.0,412.0999947,334.5826908,77.517,14.22500014,22.07684917,2.890004558,Sandy loam
